,timestamp,track,satisfaction,pacing,location,week
2,8/5/2016 12:36:31,Games,5,3,NY,7
3,8/5/2016 12:36:55,Games,4,3,NY,7
4,8/5/2016 12:37:12,Apps,4,3,NY,7
5,8/5/2016 12:37:15,Intro,4,4,NY,7
6,8/5/2016 12:39:02,Apps,5,3,NY,7
7,8/5/2016 12:39:13,Games,5,4,NY,7
8,8/5/2016 12:43:00,Games,4,3,NY,7
9,8/5/2016 12:43:35,Apps,4,3,NY,7
10,8/5/2016 12:45:05,Intro,5,3,NY,7
11,8/5/2016 12:45:58,Games,3,3,NY,7
12,8/5/2016 12:46:09,Games,5,4,NY,7
13,8/5/2016 13:04:11,Apps,4,3,NY,7
14,8/5/2016 13:13:02,Intro,4,3,NY,7
15,8/5/2016 13:37:41,Apps,4,3,NY,7
16,8/5/2016 13:39:55,Intro,5,4,NY,7
0,7/22/2016 13:29:33,Apps,5,5,NY,5
1,7/22/2016 13:35:20,Apps,5,3,NY,5
2,7/22/2016 13:36:39,Apps,4,3,NY,5
3,7/22/2016 13:37:15,Apps,4,3,NY,5
4,7/22/2016 13:40:21,Apps,5,3,NY,5
5,7/22/2016 13:44:52,Apps,4,4,NY,5
6,7/22/2016 13:50:50,Games,3,5,NY,5
7,7/22/2016 13:50:50,Apps,4,4,NY,5
8,7/22/2016 13:51:22,Apps,5,4,NY,5
9,7/22/2016 13:51:35,Games,4,3,NY,5
10,7/22/2016 13:51:36,Apps,4,3,NY,5
11,7/22/2016 13:51:44,Games,4,4,NY,5
12,7/22/2016 13:52:05,Intro,4,3,NY,5
13,7/22/2016 13:52:19,Apps,4,3,NY,5
14,7/22/2016 13:52:41,Games,5,3,NY,5
15,7/22/2016 13:53:19,Apps,4,3,NY,5
16,7/22/2016 13:53:31,Games,5,3,NY,5
17,7/22/2016 13:53:56,Apps,4,3,NY,5
18,7/22/2016 13:54:46,Games,5,3,NY,5
19,7/22/2016 13:54:52,Apps,5,3,NY,5
20,7/22/2016 13:57:13,Games,4,3,NY,5
0,7/22/2016 16:15:37,Games,3,2,LA,5
1,7/22/2016 16:16:07,Intro,4,3,LA,5
2,7/22/2016 16:16:20,Intro,5,3,LA,5
3,7/22/2016 16:17:04,Games,4,3,LA,5
4,7/22/2016 16:17:09,Intro,4,3,LA,5
5,7/22/2016 16:18:23,Games,4,3,LA,5
6,7/22/2016 16:18:45,Intro,5,3,LA,5
7,7/22/2016 16:19:58,Games,4,4,LA,5
8,7/22/2016 16:20:25,Games,5,4,LA,5
9,7/22/2016 16:20:30,Intro,5,3,LA,5
10,7/22/2016 16:23:12,Games,4,3,LA,5
11,7/22/2016 16:23:19,Games,4,3,LA,5
0,7/8/2016 12:52:08,Games,5,2,SV,3
1,7/9/2016 15:22:45,Apps,5,3,SV,3
2,7/8/2016 21:26:01,Games,4,3,SV,3
3,7/8/2016 13:52:01,Apps,4,3,SV,3
4,7/8/2016 14:00:28,Apps,4,4,SV,3
5,7/8/2016 14:42:40,Apps,5,3,SV,3
6,7/8/2016 14:03:46,Apps,4,4,SV,3
7,7/8/2016 16:40:10,Apps,3,4,SV,3
8,7/8/2016 13:58:12,Apps,4,4,SV,3
9,7/8/2016 13:53:19,Apps,3,4,SV,3
10,7/8/2016 15:59:30,Apps,3,2,SV,3
11,7/8/2016 16:11:32,Apps,5,4,SV,3
12,7/8/2016 12:49:05,Games,5,5,SV,3
13,7/8/2016 12:49:16,Games,4,3,SV,3
14,7/8/2016 12:47:42,Games,5,3,SV,3
15,7/8/2016 12:43:44,Intro,5,3,SV,3
16,7/8/2016 13:55:51,Apps,4,3,SV,3
17,7/8/2016 14:02:54,Games,5,3,SV,3
18,7/8/2016 14:29:22,Games,5,3,SV,3
19,7/9/2016 17:05:33,Games,5,2,SV,3
20,7/8/2016 16:55:21,Apps,3,3,SV,3
21,7/8/2016 16:08:13,Games,3,3,SV,3
22,7/8/2016 13:56:39,Apps,4,3,SV,3
23,7/8/2016 14:03:35,Apps,4,2,SV,3
